time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_10_16_01_40_789,598375.6505752165,2321474.5394702246,598375.5579020984,2321475.8079487025,0.0579999983310699,-0.00390625,0.9293034699270111,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_10/2024_05_10_16_01_39/final.csv
2024_05_10_16_01_40_829,598375.6505752165,2321474.5394702246,598375.5579020984,2321475.8079487025,0.0579999983310699,-0.001953125,0.9291524170668682,,,
2024_05_10_16_01_40_869,598375.6505752165,2321474.5394702246,598375.5579020984,2321475.8079487025,0.06700000166893,-0.005859375,0.929153237651115,,,
2024_05_10_16_01_40_910,598375.6504442076,2321474.5616070107,598375.5577710895,2321475.8300854885,0.090999998152256,-0.005859375,0.929153237651115,,,
2024_05_10_16_01_40_950,598375.6504442076,2321474.5616070107,598375.5577710895,2321475.8300854885,0.090999998152256,-0.001953125,0.9290440920044377,,,
2024_05_10_16_01_40_990,598375.6504442076,2321474.5616070107,598375.5577710895,2321475.8300854885,0.096000000834465,-0.001953125,0.9290155585019567,,,
2024_05_10_16_01_41_029,598375.6504442076,2321474.5616070107,598375.5577710895,2321475.8300854885,0.1159999966621398,-0.005859375,0.9288996523132651,,,
2024_05_10_16_01_41_069,598375.6504442076,2321474.5616070107,598375.5577710895,2321475.8300854885,0.1299999952316284,-0.001953125,0.9287528559633208,,,
2024_05_10_16_01_41_109,598375.6606422397,2321474.5948737063,598375.5679691216,2321475.863352184,0.1449999958276748,-0.00390625,0.9287305489591804,,,
2024_05_10_16_01_41_150,598375.6606422397,2321474.5948737063,598375.5679691216,2321475.863352184,0.1539999991655349,-0.00390625,0.9287305489591804,,,
2024_05_10_16_01_41_190,598375.6606422397,2321474.5948737063,598375.5679691216,2321475.863352184,0.1689999997615814,0.0,0.9287360852214973,,,
2024_05_10_16_01_41_230,598375.6606422397,2321474.5948737063,598375.5679691216,2321475.863352184,0.1689999997615814,0.0,0.9285866955776542,,,
2024_05_10_16_01_41_269,598375.6606422397,2321474.5948737063,598375.5679691216,2321475.863352184,0.2029999941587448,0.00390625,0.9288737211942463,,,
2024_05_10_16_01_41_309,598375.6812348173,2321474.6282019187,598375.5885616991,2321475.8966803965,0.2029999941587448,0.00390625,0.9288737211942463,,,
2024_05_10_16_01_41_349,598375.6812348173,2321474.6282019187,598375.5885616991,2321475.8966803965,0.2269999980926513,-0.005859375,0.9290113387891459,,,
2024_05_10_16_01_41_390,598375.6812348173,2321474.6282019187,598375.5885616991,2321475.8966803965,0.2409999966621399,0.001953125,0.928746086040949,,,
2024_05_10_16_01_41_430,598375.6812348173,2321474.6282019187,598375.5885616991,2321475.8966803965,0.2460000067949295,0.00390625,0.9291797028011323,,,
2024_05_10_16_01_41_470,598375.6812348173,2321474.6282019187,598375.5885616991,2321475.8966803965,0.2460000067949295,0.00390625,0.9291534129096108,,,
2024_05_10_16_01_41_509,598375.7121564356,2321474.6726600407,598375.6194833175,2321475.9411385185,0.2660000026226043,-0.005859375,0.9291529728567206,,,
2024_05_10_16_01_41_549,598375.7121564356,2321474.6726600407,598375.6194833175,2321475.9411385185,0.2989999949932098,0.001953125,0.9293190828545639,,,
2024_05_10_16_01_41_589,598375.7121564356,2321474.6726600407,598375.6194833175,2321475.9411385185,0.2989999949932098,0.001953125,0.9293190828545639,,,
2024_05_10_16_01_41_630,598375.7121564356,2321474.6726600407,598375.6194833175,2321475.9411385185,0.3089999854564667,0.005859375,0.9292935149039125,,,
