time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_10_11_59_31_529,599087.9724456053,2321605.4085456855,599086.6341574643,2321606.923759521,2.094000101089477,-0.013671875,-2.4445357297570567,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_10/2024_05_10_11_59_31/final.csv
2024_05_10_11_59_31_569,599087.9724456053,2321605.4085456855,599086.6341574643,2321606.923759521,2.0840001106262207,-0.01171875,-2.4448720016852676,,,
2024_05_10_11_59_31_609,599087.9724456053,2321605.4085456855,599086.6341574643,2321606.923759521,2.075000047683716,-0.005859375,-2.4455628165308947,,,
2024_05_10_11_59_31_650,599087.9724456053,2321605.4085456855,599086.6341574643,2321606.923759521,2.075000047683716,-0.015625,-2.4461609051882633,,,
2024_05_10_11_59_31_690,599087.9724456053,2321605.4085456855,599086.6341574643,2321606.923759521,2.0460000038146973,-0.017578125,-2.446453677575513,,,
2024_05_10_11_59_31_730,599087.6824558316,2321605.2297160844,599086.3441676905,2321606.74492992,2.0460000038146973,-0.005859375,-2.4474096444700786,,,
2024_05_10_11_59_31_769,599087.6824558316,2321605.2297160844,599086.3441676905,2321606.74492992,2.0409998893737797,-0.001953125,-2.447663954293705,,,
2024_05_10_11_59_31_809,599087.6824558316,2321605.2297160844,599086.3441676905,2321606.74492992,2.0309998989105225,-0.00390625,-2.4484496619673553,,,
2024_05_10_11_59_31_849,599087.6824558316,2321605.2297160844,599086.3441676905,2321606.74492992,2.0309998989105225,-0.013671875,-2.448773008647315,,,
2024_05_10_11_59_31_890,599087.6824558316,2321605.2297160844,599086.3441676905,2321606.74492992,2.026000022888184,-0.015625,-2.449183325393395,,,
2024_05_10_11_59_31_930,599087.3716770879,2321605.050762559,599086.0333889468,2321606.5659763943,2.0209999084472656,-0.015625,-2.449183325393395,,,
2024_05_10_11_59_31_970,599087.3716770879,2321605.050762559,599086.0333889468,2321606.5659763943,2.0209999084472656,-0.01171875,-2.4496120883606842,,,
2024_05_10_11_59_32_009,599087.3716770879,2321605.050762559,599086.0333889468,2321606.5659763943,2.026000022888184,-0.013671875,-2.4505346283051073,,,
2024_05_10_11_59_32_049,599087.3716770879,2321605.050762559,599086.0333889468,2321606.5659763943,2.026000022888184,-0.01171875,-2.4509108658424528,,,
2024_05_10_11_59_32_089,599087.3716770879,2321605.050762559,599086.0333889468,2321606.5659763943,2.049999952316284,-0.01171875,-2.4509108658424528,,,
2024_05_10_11_59_32_130,599087.0607663756,2321604.893945862,599085.7224782346,2321606.4091596976,2.049999952316284,-0.009765625,-2.451757435834032,,,
2024_05_10_11_59_32_170,599087.0607663756,2321604.893945862,599085.7224782346,2321606.4091596976,2.075000047683716,-0.021484375,-2.452297686593561,,,
2024_05_10_11_59_32_210,599087.0607663756,2321604.893945862,599085.7224782346,2321606.4091596976,2.075000047683716,-0.015625,-2.452663941565228,,,
2024_05_10_11_59_32_250,599087.0607663756,2321604.893945862,599085.7224782346,2321606.4091596976,2.08899998664856,-0.025390625,-2.454542507867406,,,
2024_05_10_11_59_32_289,599087.0607663756,2321604.893945862,599085.7224782346,2321606.4091596976,2.1080000400543213,-0.025390625,-2.454542507867406,,,
2024_05_10_11_59_32_329,599086.7189361395,2321604.6926696333,599085.3806479984,2321606.207883469,2.1080000400543213,-0.021484375,-2.456104401267664,,,
2024_05_10_11_59_32_369,599086.7189361395,2321604.6926696333,599085.3806479984,2321606.207883469,2.11299991607666,-0.01171875,-2.4569945491787397,,,
2024_05_10_11_59_32_410,599086.7189361395,2321604.6926696333,599085.3806479984,2321606.207883469,2.132999897003174,-0.01171875,-2.4575297577601516,,,
2024_05_10_11_59_32_450,599086.7189361395,2321604.6926696333,599085.3806479984,2321606.207883469,2.132999897003174,-0.009765625,-2.457831083908064,,,
2024_05_10_11_59_32_490,599086.7189361395,2321604.6926696333,599085.3806479984,2321606.207883469,2.180999994277954,-0.01171875,-2.4579636623700116,,,
2024_05_10_11_59_32_529,599086.3457244979,2321604.5244127517,599085.0074363569,2321606.039626587,2.180999994277954,-0.01171875,-2.4588458346444457,,,
2024_05_10_11_59_32_569,599086.3457244979,2321604.5244127517,599085.0074363569,2321606.039626587,2.180999994277954,-0.005859375,-2.4592533778246177,,,
2024_05_10_11_59_32_609,599086.3457244979,2321604.5244127517,599085.0074363569,2321606.039626587,2.186000108718872,-0.009765625,-2.4595473361208433,,,
2024_05_10_11_59_32_650,599086.3457244979,2321604.5244127517,599085.0074363569,2321606.039626587,2.186000108718872,0.0,-2.4595824942407356,,,
2024_05_10_11_59_32_690,599086.3457244979,2321604.5244127517,599085.0074363569,2321606.039626587,2.2290000915527344,-0.005859375,-2.459906638219951,,,
