time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_12_17_11_38_259,598994.7150494462,2321461.412279943,598992.1140862205,2321461.646257417,2.8289999961853027,-0.00390625,-1.934931848339107,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_12/2024_05_12_17_11_38/final.csv
2024_05_12_17_11_38_299,598994.7150494462,2321461.412279943,598992.1140862205,2321461.646257417,2.8289999961853027,-0.013671875,-1.9355667097471412,,,
2024_05_12_17_11_38_339,598994.3744675438,2321461.0007060748,598991.7735043181,2321461.2346835486,2.8239998817443848,-0.0234375,-1.9359677738112961,,,
2024_05_12_17_11_38_380,598994.3744675438,2321461.0007060748,598991.7735043181,2321461.2346835486,2.83899998664856,0.0,-1.9365749711629419,,,
2024_05_12_17_11_38_420,598994.3744675438,2321461.0007060748,598991.7735043181,2321461.2346835486,2.8480000495910645,0.0,-1.9365749711629419,,,
2024_05_12_17_11_38_460,598994.3744675438,2321461.0007060748,598991.7735043181,2321461.2346835486,2.8529999256134038,-0.03515625,-1.9380428300308312,,,
2024_05_12_17_11_38_500,598994.3744675438,2321461.0007060748,598991.7735043181,2321461.2346835486,2.8480000495910645,-0.013671875,-1.9387162316011128,,,
2024_05_12_17_11_38_539,598994.06513525,2321460.578249515,598991.4641720243,2321460.812226989,2.844000101089477,-0.015625,-1.939581809991458,,,
2024_05_12_17_11_38_579,598994.06513525,2321460.578249515,598991.4641720243,2321460.812226989,2.844000101089477,-0.025390625,-1.9408126326384916,,,
2024_05_12_17_11_38_619,598994.06513525,2321460.578249515,598991.4641720243,2321460.812226989,2.8480000495910645,-0.025390625,-1.9408126326384916,,,
2024_05_12_17_11_38_660,598994.06513525,2321460.578249515,598991.4641720243,2321460.812226989,2.8580000400543213,-0.041015625,-1.9426719588929897,,,
2024_05_12_17_11_38_700,598993.7350137971,2321460.155669157,598991.1340505714,2321460.3896466307,2.8580000400543213,-0.02734375,-1.9438848031710352,,,
2024_05_12_17_11_38_740,598993.7350137971,2321460.155669157,598991.1340505714,2321460.3896466307,2.8580000400543213,-0.0390625,-1.945201502175192,,,
2024_05_12_17_11_38_779,598993.7350137971,2321460.155669157,598991.1340505714,2321460.3896466307,2.8580000400543213,-0.0390625,-1.945201502175192,,,
2024_05_12_17_11_38_819,598993.7350137971,2321460.155669157,598991.1340505714,2321460.3896466307,2.86299991607666,-0.0390625,-1.946348099175894,,,
2024_05_12_17_11_38_859,598993.7350137971,2321460.155669157,598991.1340505714,2321460.3896466307,2.868000030517578,-0.0234375,-1.9472681029665528,,,
2024_05_12_17_11_38_900,598993.4048264117,2321459.7441572133,598990.803863186,2321459.978134687,2.86299991607666,-0.025390625,-1.9489909177541573,,,
2024_05_12_17_11_38_940,598993.4048264117,2321459.7441572133,598990.803863186,2321459.978134687,2.868000030517578,-0.052734375,-1.9509486215721814,,,
2024_05_12_17_11_38_980,598993.4048264117,2321459.7441572133,598990.803863186,2321459.978134687,2.8580000400543213,-0.052734375,-1.9509486215721814,,,
2024_05_12_17_11_39_019,598993.4048264117,2321459.7441572133,598990.803863186,2321459.978134687,2.8580000400543213,-0.01953125,-1.9524104931862623,,,
2024_05_12_17_11_39_059,598993.4048264117,2321459.7441572133,598990.803863186,2321459.978134687,2.8580000400543213,-0.0234375,-1.9530065271593189,,,
2024_05_12_17_11_39_099,598993.4048264117,2321459.7441572133,598990.803863186,2321459.978134687,2.86299991607666,-0.02734375,-1.9537236558941662,,,
2024_05_12_17_11_39_140,598993.0745071822,2321459.3547820905,598990.4735439565,2321459.5887595643,2.872999906539917,-0.015625,-1.9548135021462671,,,
2024_05_12_17_11_39_180,598993.0745071822,2321459.3547820905,598990.4735439565,2321459.5887595643,2.86299991607666,-0.037109375,-1.9556790874111185,,,
2024_05_12_17_11_39_220,598993.0745071822,2321459.3547820905,598990.4735439565,2321459.5887595643,2.86299991607666,-0.037109375,-1.9565683915950038,,,
2024_05_12_17_11_39_259,598993.0745071822,2321459.3547820905,598990.4735439565,2321459.5887595643,2.8580000400543213,-0.0390625,-1.9570279302013491,,,
2024_05_12_17_11_39_299,598993.0745071822,2321459.3547820905,598990.4735439565,2321459.5887595643,2.86299991607666,-0.00390625,-1.9578766355665382,,,
2024_05_12_17_11_39_339,598992.713070134,2321458.954152863,598990.1121069083,2321459.188130337,2.86299991607666,-0.03515625,-1.9594011088334529,,,
2024_05_12_17_11_39_380,598992.713070134,2321458.954152863,598990.1121069083,2321459.188130337,2.86299991607666,-0.021484375,-1.9598306804082704,,,
2024_05_12_17_11_39_420,598992.713070134,2321458.954152863,598990.1121069083,2321459.188130337,2.86299991607666,-0.013671875,-1.960709076484381,,,
2024_05_12_17_11_39_460,598992.713070134,2321458.954152863,598990.1121069083,2321459.188130337,2.8580000400543213,-0.01953125,-1.9619766634551485,,,
