time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_11_08_37_48_279,599737.5570176673,2321655.7716475325,599736.7977466222,2321657.6492333747,0.032999999821186,-0.001953125,-2.837506171354319,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_11/2024_05_11_08_37_47/final.csv
2024_05_11_08_37_48_329,599737.5465567835,2321655.782653586,599736.7872857384,2321657.6602394283,0.0529999993741512,-0.001953125,-2.8375216401034633,,,
2024_05_11_08_37_48_369,599737.5465567835,2321655.782653586,599736.7872857384,2321657.6602394283,0.0529999993741512,-0.001953125,-2.8375216401034633,,,
2024_05_11_08_37_48_400,599737.5465567835,2321655.782653586,599736.7872857384,2321657.6602394283,0.061999998986721,0.001953125,-2.837550661985811,,,
2024_05_11_08_37_48_440,599737.5465567835,2321655.782653586,599736.7872857384,2321657.6602394283,0.0769999995827674,0.0,-2.8375675446480813,,,
2024_05_11_08_37_48_480,599737.5465567835,2321655.782653586,599736.7872857384,2321657.6602394283,0.0869999974966049,0.001953125,-2.837571402437877,,,
2024_05_11_08_37_48_519,599737.5362951506,2321655.76045436,599736.7770241055,2321657.638040202,0.1059999987483024,0.001953125,-2.837571402437877,,,
2024_05_11_08_37_48_569,599737.5362951506,2321655.76045436,599736.7770241055,2321657.638040202,0.1199999973177909,0.0,-2.8375985355803306,,,
2024_05_11_08_37_48_609,599737.5362951506,2321655.76045436,599736.7770241055,2321657.638040202,0.1199999973177909,-0.001953125,-2.8375961237902896,,,
2024_05_11_08_37_48_640,599737.5362951506,2321655.76045436,599736.7770241055,2321657.638040202,0.1539999991655349,-0.001953125,-2.8375961237902896,,,
2024_05_11_08_37_48_680,599737.5362951506,2321655.76045436,599736.7770241055,2321657.638040202,0.1539999991655349,-0.001953125,-2.8377523135795797,,,
2024_05_11_08_37_48_720,599737.5053774181,2321655.7159935357,599736.746106373,2321657.593579378,0.1739999949932098,-0.005859375,-2.8378948891405424,,,
2024_05_11_08_37_48_759,599737.5053774181,2321655.7159935357,599736.746106373,2321657.593579378,0.1930000036954879,0.0,-2.8379399731538775,,,
2024_05_11_08_37_48_799,599737.5053774181,2321655.7159935357,599736.746106373,2321657.593579378,0.2119999974966049,-0.00390625,-2.838069886955839,,,
2024_05_11_08_37_48_849,599737.5053774181,2321655.7159935357,599736.746106373,2321657.593579378,0.2319999933242797,0.00390625,-2.8380757529009863,,,
2024_05_11_08_37_48_880,599737.5053774181,2321655.7159935357,599736.746106373,2321657.593579378,0.2319999933242797,-0.00390625,-2.838047719139308,,,
2024_05_11_08_37_48_920,599737.4430770312,2321655.7045508726,599736.6838059861,2321657.582136715,0.2319999933242797,-0.005859375,-2.8381698970557223,,,
2024_05_11_08_37_48_960,599737.4430770312,2321655.7045508726,599736.6838059861,2321657.582136715,0.2460000067949295,0.0,-2.838298902492173,,,
2024_05_11_08_37_49_000,599737.4430770312,2321655.7045508726,599736.6838059861,2321657.582136715,0.2660000026226043,-0.00390625,-2.8381944294964896,,,
2024_05_11_08_37_49_039,599737.4430770312,2321655.7045508726,599736.6838059861,2321657.582136715,0.2800000011920929,-0.00390625,-2.838313203266234,,,
2024_05_11_08_37_49_089,599737.4430770312,2321655.7045508726,599736.6838059861,2321657.582136715,0.2949999868869781,0.0,-2.8384523996165676,,,
2024_05_11_08_37_49_119,599737.3806438104,2321655.715245062,599736.6213727653,2321657.5928309043,0.3140000104904175,-0.001953125,-2.8383590654452187,,,
2024_05_11_08_37_49_160,599737.3806438104,2321655.715245062,599736.6213727653,2321657.5928309043,0.3140000104904175,-0.001953125,-2.8384943934018603,,,
2024_05_11_08_37_49_200,599737.3806438104,2321655.715245062,599736.6213727653,2321657.5928309043,0.3330000042915344,0.0,-2.8384984124487507,,,
2024_05_11_08_37_49_240,599737.3806438104,2321655.715245062,599736.6213727653,2321657.5928309043,0.3330000042915344,-0.001953125,-2.8386212023766286,,,
2024_05_11_08_37_49_279,599737.3806438104,2321655.715245062,599736.6213727653,2321657.5928309043,0.3529999852180481,0.0,-2.8388788558540745,,,
2024_05_11_08_37_49_329,599737.3185426767,2321655.67059712,599736.5592716316,2321657.5481829625,0.3720000088214874,-0.005859375,-2.838908741200494,,,
2024_05_11_08_37_49_369,599737.3185426767,2321655.67059712,599736.5592716316,2321657.5481829625,0.3860000073909759,-0.005859375,-2.839028073014843,,,
2024_05_11_08_37_49_400,599737.3185426767,2321655.67059712,599736.5592716316,2321657.5481829625,0.4059999883174896,-0.00390625,-2.839250387593615,,,
2024_05_11_08_37_49_440,599737.3185426767,2321655.67059712,599736.5592716316,2321657.5481829625,0.4059999883174896,-0.0078125,-2.8394535149029654,,,
