time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_09_07_47_30_470,598308.9847040536,2321696.550060791,598308.0519923404,2321695.8771203305,0.3379999995231628,-0.107421875,-2.28890308346878,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_09/2024_05_09_07_47_30/final.csv
2024_05_09_07_47_30_509,598308.9433883013,2321696.505541293,598308.010676588,2321695.8326008325,0.4490000009536743,-0.029296875,-2.2941396695138976,,,
2024_05_09_07_47_30_549,598308.9433883013,2321696.505541293,598308.010676588,2321695.8326008325,0.4490000009536743,-0.029296875,-2.2941396695138976,,,
2024_05_09_07_47_30_589,598308.9433883013,2321696.505541293,598308.010676588,2321695.8326008325,0.4490000009536743,-0.029296875,-2.2941396695138976,,,
2024_05_09_07_47_30_630,598308.9433883013,2321696.505541293,598308.010676588,2321695.8326008325,0.4199999868869781,-0.001953125,-2.2948812869458806,,,
2024_05_09_07_47_30_670,598308.9433883013,2321696.505541293,598308.010676588,2321695.8326008325,0.4199999868869781,-0.001953125,-2.2948812869458806,,,
2024_05_09_07_47_30_710,598308.90246535,2321696.3946114304,598307.9697536367,2321695.72167097,0.4199999868869781,-0.03125,-2.2963892268617037,,,
2024_05_09_07_47_30_750,598308.90246535,2321696.3946114304,598307.9697536367,2321695.72167097,0.5220000147819519,-0.017578125,-2.297585113014274,,,
2024_05_09_07_47_30_789,598308.90246535,2321696.3946114304,598307.9697536367,2321695.72167097,0.5410000085830688,0.00390625,-2.2986610618988395,,,
2024_05_09_07_47_30_829,598308.90246535,2321696.3946114304,598307.9697536367,2321695.72167097,0.5410000085830688,0.00390625,-2.2986610618988395,,,
2024_05_09_07_47_30_869,598308.90246535,2321696.3946114304,598307.9697536367,2321695.72167097,0.5509999990463257,0.00390625,-2.2986610618988395,,,
2024_05_09_07_47_30_910,598308.830228249,2321696.3056339156,598307.8975165357,2321695.632693455,0.5699999928474426,-0.01953125,-2.300205344270444,,,
2024_05_09_07_47_30_950,598308.830228249,2321696.3056339156,598307.8975165357,2321695.632693455,0.5849999785423279,0.01171875,-2.300308469283491,,,
2024_05_09_07_47_30_990,598308.830228249,2321696.3056339156,598307.8975165357,2321695.632693455,0.5849999785423279,-0.01953125,-2.3015882495676214,,,
2024_05_09_07_47_31_029,598308.830228249,2321696.3056339156,598307.8975165357,2321695.632693455,0.6140000224113464,-0.01953125,-2.3015882495676214,,,
2024_05_09_07_47_31_069,598308.830228249,2321696.3056339156,598307.8975165357,2321695.632693455,0.6140000224113464,-0.013671875,-2.3025362976133317,,,
2024_05_09_07_47_31_109,598308.7685164807,2321696.194581093,598307.8358047674,2321695.5216406323,0.6330000162124634,-0.013671875,-2.3025362976133317,,,
2024_05_09_07_47_31_150,598308.7685164807,2321696.194581093,598307.8358047674,2321695.5216406323,0.6570000052452087,-0.013671875,-2.3025362976133317,,,
